Story ID, Story Name                                  , Description                                                                                                                           , Priority , Iteration (Sprint) number, Acceptance Criteria                                                                                                                          , Estimation, Notes                                                                               , Date started (or planned), Date finished (or planned)
US01    , Create Applicant Profile                    , "As a TA applicant,
                                                        I want to create my applicant profile,
                                                        So that I can prepare for applying for available jobs."                                                                               , very high,                         1, "1. The applicant can enter personal and academic information including name, student ID, programme, year of study, skills, and availability.
                                                                                                                                                                                                                                      2. Required fields must be completed before saving.
                                                                                                                                                                                                                                      3. The profile can be saved and reopened later.
                                                                                                                                                                                                                                      4. An error message is shown if required fields are missing."                                                                                ,          3, Pre-application stage; core preparation function.                                   , 2026/3/13                , 2026/3/28
US02    , Edit Applicant Profile                      , "As a TA applicant,
                                                        I want to edit my applicant profile,
                                                        So that my information remains accurate before or after submitting an application."                                                   , high     ,                         2, "1. The applicant can update saved profile information.
                                                                                                                                                                                                                                      2. Updated information is saved correctly.
                                                                                                                                                                                                                                      3. Existing data is not lost unexpectedly."                                                                                                  ,          2, Profile maintenance after first draft submission.                                   , 2026/3/20                , 2026/3/26
US03    , Upload CV                                   , "As a TA applicant,
                                                        I want to upload my CV,
                                                        So that I can complete the application requirements for job applications."                                                            , very high,                         1, "1. The applicant can upload a CV file from local storage.
                                                                                                                                                                                                                                      2. Only PDF and DOC files are accepted.
                                                                                                                                                                                                                                      3. The uploaded file name is displayed after a successful upload.
                                                                                                                                                                                                                                      4. The applicant can replace the uploaded CV with a new version.
                                                                                                                                                                                                                                      5. An error message is shown if no file is selected or the file format is invalid."                                                          ,          3, Required before application submission.                                             , 2026/3/13                , 2026/3/26
US04    , Browse Available Jobs                       , "As a TA applicant,
                                                        I want to browse available jobs,
                                                        So that I can identify suitable opportunities before applying."                                                                       , very high,                         1, "1. The system displays a list of open jobs.
                                                                                                                                                                                                                                      2. Each job card shows at least the title, module or activity, hours, deadline, and status.
                                                                                                                                                                                                                                      3. Closed jobs are not shown in the default list."                                                                                           ,          3, Core browsing function in pre-application stage.                                    , 2026/3/13                , 2026/3/28
US05    , Filter and Search Jobs                      , "As a TA applicant,
                                                        I want to filter and search jobs,
                                                        So that I can find suitable jobs more efficiently."                                                                                   , medium   ,                         2, "1. The applicant can filter jobs by module or activity, type, and keyword.
                                                                                                                                                                                                                                      2. Filtered results update correctly.
                                                                                                                                                                                                                                      3. An empty-state message is shown if no result matches."                                                                                    ,          3, Usability improvement for job discovery.                                            , 2026/3/20                , 2026/3/26
US06    , View Job Details                            , "As a TA applicant,
                                                        I want to view detailed job information,
                                                        So that I can decide whether I should apply."                                                                                         , very high,                         1, "1. The applicant can open a job detail page from the job list.
                                                                                                                                                                                                                                      2. Job details include description, required skills or knowledge, hours, deadline, and organiser information.
                                                                                                                                                                                                                                      3. The page clearly shows whether the job is open or closed.
                                                                                                                                                                                                                                      4. Required skills and knowledge are clearly displayed before the applicant applies."                                                        ,          2, Supports application decision-making.                                               , 2026/3/13                , 2026/3/28
US07    , Submit Application                          , "As a TA applicant,
                                                        I want to submit an application for a job,
                                                        So that I can be considered for the position."                                                                                        , very high,                         1, "1. The applicant must complete profile information before applying.
                                                                                                                                                                                                                                      2. The applicant must upload a CV before applying.
                                                                                                                                                                                                                                      3. An applicant can apply for at most three jobs.
                                                                                                                                                                                                                                      4. An applicant cannot apply to the same job twice.
                                                                                                                                                                                                                                      5. An applicant cannot apply to a closed job or after the deadline.
                                                                                                                                                                                                                                      6. The system confirms successful submission.
                                                                                                                                                                                                                                      7. The submitted application is recorded in the applicant's application list.
                                                                                                                                                                                                                                      8. The MO can view the submitted application."                                                                                               ,          5, Core application feature; submission stage.                                         , 2026/3/13                , 2026/3/24
US08    , View Application Status                     , "As a TA applicant,
                                                        I want to view the status of my submitted applications,
                                                        So that I know whether my application is under review, waitlisted, rejected, or selected."                                            , very high,                         1, "1. The applicant can open a 'My Applications' page.
                                                                                                                                                                                                                                      2. Each application shows job title, application date, latest status update time, and current status.
                                                                                                                                                                                                                                      3. Status labels, including Rejected, are displayed clearly and consistently.
                                                                                                                                                                                                                                      4. The applicant can access related job details from the application record."                                                                ,          3, Post-submission tracking.                                                           , 2026/3/13                , 2026/3/24
US09    , Withdraw Application                        , "As a TA applicant,
                                                        I want to withdraw my application before a decision is made,
                                                        So that I can stop being considered if my situation changes."                                                                         , medium   ,                         2, "1. The applicant can withdraw an application only when its status is still pending or under review.
                                                                                                                                                                                                                                      2. Withdrawn applications are clearly marked.
                                                                                                                                                                                                                                      3. The MO can see that the application was withdrawn."                                                                                       ,          3, Optional post-submission control.                                                   , 2026/3/20                , 2026/3/26
US10    , View Selection Result and Assignment Details, "As a selected TA,
                                                        I want to see that I have been selected and view the related assignment details,
                                                        So that I know what role I have been assigned to."                                                                                    , high     ,                         2, "1. The selected applicant can see the updated status as 'Selected'.
                                                                                                                                                                                                                                      2. The assigned job details are clearly displayed.
                                                                                                                                                                                                                                      3. The selected TA can view module or activity name, expected hours, and organiser information."                                             ,          3, Post-selection onboarding starts here.                                              , 2026/3/20                , 2026/3/26
